CallerClass,CallerMethod,Permission
com/android/server/LocationManagerService,getProviders,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,getBestProvider,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,addGpsStatusListener,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,removeGeofence,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,requestLocationUpdates,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,requestGeofence,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,getLastLocation,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,removeUpdates,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,addGpsMeasurementsListener,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,getProviderProperties,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,addGpsNavigationMessageListener,android.permission.ACCESS_COARSE_LOCATION
com/android/server/LocationManagerService,getProviderProperties,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,removeGeofence,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,addGpsMeasurementsListener,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,requestLocationUpdates,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,requestGeofence,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,getProviders,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,getLastLocation,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,addGpsStatusListener,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,getBestProvider,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,removeUpdates,android.permission.ACCESS_FINE_LOCATION
com/android/server/LocationManagerService,addGpsNavigationMessageListener,android.permission.ACCESS_FINE_LOCATION
com/android/server/LockSettingsService,setLockPassword,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LockSettingsService,checkPassword,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LockSettingsService,setBoolean,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LockSettingsService,checkPattern,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LockSettingsService,setLockPattern,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LockSettingsService,setLong,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LockSettingsService,checkVoldPassword,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LockSettingsService,removeUser,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LockSettingsService,setString,android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
com/android/server/LocationManagerService,sendExtraCommand,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
com/android/server/LocationManagerService,clearTestProviderStatus,android.permission.ACCESS_MOCK_LOCATION
com/android/server/LocationManagerService,clearTestProviderLocation,android.permission.ACCESS_MOCK_LOCATION
com/android/server/LocationManagerService,setTestProviderStatus,android.permission.ACCESS_MOCK_LOCATION
com/android/server/LocationManagerService,setTestProviderEnabled,android.permission.ACCESS_MOCK_LOCATION
com/android/server/LocationManagerService,addTestProvider,android.permission.ACCESS_MOCK_LOCATION
com/android/server/LocationManagerService,setTestProviderLocation,android.permission.ACCESS_MOCK_LOCATION
com/android/server/LocationManagerService,removeTestProvider,android.permission.ACCESS_MOCK_LOCATION
com/android/server/LocationManagerService,clearTestProviderEnabled,android.permission.ACCESS_MOCK_LOCATION
com/android/server/ConnectivityService,getTetherableIfaces,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getNetworkCapabilities,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getLinkPropertiesForType,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getActiveLinkProperties,android.permission.ACCESS_NETWORK_STATE
com/android/server/net/LockdownVpnTracker,onNetworkInfoChanged,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,isNetworkSupported,android.permission.ACCESS_NETWORK_STATE
com/android/server/net/LockdownVpnTracker,onVpnStateChanged,android.permission.ACCESS_NETWORK_STATE
com/android/server/net/NetworkPolicyManagerService,getNetworkQuotaInfo,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,isTetheringSupported,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getLinkProperties,android.permission.ACCESS_NETWORK_STATE
com/android/server/net/LockdownVpnTracker,reset,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,listenForNetwork,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getLastTetherError,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getTetherableUsbRegexs,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,isActiveNetworkMetered,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getTetherableWifiRegexs,android.permission.ACCESS_NETWORK_STATE
com/android/server/ethernet/EthernetServiceImpl,getConfiguration,android.permission.ACCESS_NETWORK_STATE
com/android/server/net/LockdownVpnTracker,init,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getActiveNetworkQuotaInfo,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getTetherableBluetoothRegexs,android.permission.ACCESS_NETWORK_STATE
com/android/server/ethernet/EthernetServiceImpl,isAvailable,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getTetheredIfaces,android.permission.ACCESS_NETWORK_STATE
com/android/server/job/controllers/BatteryController,get,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getAllNetworkInfo,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getActiveNetworkInfo,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getNetworkInfoForNetwork,android.permission.ACCESS_NETWORK_STATE
com/android/server/job/controllers/IdleController,get,android.permission.ACCESS_NETWORK_STATE
com/android/server/job/controllers/TimeController,get,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getNetworkInfo,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getProvisioningOrActiveNetworkInfo,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getNetworkForType,android.permission.ACCESS_NETWORK_STATE
com/android/server/job/controllers/BatteryController,getForTesting,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getDefaultNetworkCapabilitiesForUser,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getTetheringErroredIfaces,android.permission.ACCESS_NETWORK_STATE
com/android/server/ethernet/EthernetServiceImpl,addListener,android.permission.ACCESS_NETWORK_STATE
com/android/server/job/controllers/ConnectivityController,get,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getAllNetworks,android.permission.ACCESS_NETWORK_STATE
com/android/server/net/NetworkStatsService,getDataLayerSnapshotForUid,android.permission.ACCESS_NETWORK_STATE
com/android/server/ethernet/EthernetServiceImpl,removeListener,android.permission.ACCESS_NETWORK_STATE
com/android/server/ConnectivityService,getActiveNetworkInfoUnfiltered,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/manager/RequestManagerRetriever,get,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/manager/RequestManagerRetriever,get,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/Glide,with,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/manager/RequestManagerRetriever,get,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/RequestManager,<init>,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/manager/RequestManagerRetriever,get,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/Glide,with,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/Glide,with,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/manager/RequestManagerRetriever,get,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/Glide,with,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/manager/ConnectivityMonitorFactory,build,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/load/resource/gif/GifDrawable,start,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/Glide,with,android.permission.ACCESS_NETWORK_STATE
com/bumptech/glide/load/resource/gif/GifDrawable,onFrameRead,android.permission.ACCESS_NETWORK_STATE
com/android/camera/data/LocalMediaData$PhotoData,loadFullImage,android.permission.ACCESS_NETWORK_STATE
com/android/server/wifi/WifiServiceImpl,getSupportedFeatures,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,isMulticastEnabled,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,enableVerboseLogging,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getVerboseLoggingLevel,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,enableAggressiveHandover,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getAggressiveHandover,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,setAllowScansWithTraffic,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getAllowScansWithTraffic,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,setAllowScansWhileAssociated,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getAllowScansWhileAssociated,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getConnectionStatistics,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,isScanAlwaysAvailable,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getConfigFile,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,disableEphemeralNetwork,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,reportActivityInfo,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,pingSupplicant,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getPrivilegedConfiguredNetworks,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getChannelList,android.permission.ACCESS_WIFI_STATE
com/android/server/wifi/WifiServiceImpl,getWifiEnabledState,android.permission.ACCESS_WIFI_STATE
